122.6,484.5,1611.8,1
160,353,1625,1
136,393,1682,1
130.7,392.2,1706,1
128.07,527.85,1712.82,1
98.7,583.4,1753.7,1
122.26,627.11,1770.91,1
158.3,453.1,1783.6,1
106,634,1786,1
170.4,480,1790,1
99.6,595.1,1796.2,1
106,527,1797,1
109,534,1800,1
149,501,1800,1
107,531,1804,1
131.2,408.9,1804.5,1
131,392,1808,1
130.83,620.05,1814.65,1
114.21,227.76,1816.29,1
166.4,464.5,1823.1,1
103.1,409.2,1826,1
145.7,461.3,1826.7,1
111.67,463.77,1829.6,1
127,462,1832,1
117.87,463.35,1833.9,1
150,479,1839,1
132.98,474.44,1840.3,1
151,462,1852,1
136.4,399.6,1854.5,1
164.6,452.5,1858.2,1
130.6,516.75,1860.69,1
134.1,429.8,1867.6,1
132,434,1870,1
105,415,1885,1
118,358,1891,1
120.2,506.1,1893,1
172,492,1906,1
184.45,441.52,1907.45,1
141.5,412.2,1909.4,1
115.52,342.64,1916.78,1
113.37,395.41,1930.1,1
106,547,1939,1
117,461,1950,1
109.84,326.85,1952.3,1
124,368,1958,1
118.3,351,1958.2,1
136.57,555.91,1960.13,1
116.97,584.89,1969.13,1
135.7,411.3,1970.5,1
185.4,365.6,1972.9,1
104.59,326.43,1973.2,1
108.5,532.24,1988.36,1
180.4,361.3,1991.3,1
103,528,1993,1
184.6,370.5,1997.3,1
109.79,403.49,2009.98,1
111,340,2010,1
150,442,2018,1
138.1,407,2062.9,1
112.9,345.1,2064.4,1
138.2,407.1,2072.4,1
140,405,2073,1
105,415,2080,1
110,435,2082,1
110,422,2100,1
126,370,2107,1
105,405,2135,1
165.9,321.43,2153.2,1
182.16,338.71,2160.3,1
161.83,325.49,2160.3,1
